,地區,姓名,號次,性別,出生年次,參選年齡,推薦政黨,得票數,得票率,當選註記,是否現任,,
第八屆(2012),臺中市第07選區,何欣純,1,女,1973,39,民主進步黨,101006,50.30%,*,否,,
第八屆(2012),高雄市第07選區,趙天麟,3,男,1973,39,民主進步黨,98341,53.37%,*,否,,
第八屆(2012),臺北市第04選區,臧家宜,1,女,1974,38,人民最大黨,1745,0.75%,,否,,
第八屆(2012),桃園縣第03選區,盧照仁,2,男,1974,38,台灣主義黨,1473,0.81%,,否,,
第八屆(2012),彰化縣第01選區,林益邦,3,男,1974,38,無黨籍及未經政黨推薦,50615,28.27%,,否,,
第八屆(2012),臺中市第08選區,江啟臣,5,男,1972,40,中國國民黨,69136,44.77%,*,否,,
第八屆(2012),高雄市第02選區,邱志偉,1,男,1972,40,民主進步黨,96818,50.42%,*,否,,
第八屆(2012),高雄市第04選區,林岱樺,2,女,1972,40,民主進步黨,111188,64.81%,*,是,,
第八屆(2012),新竹縣第01選區,徐欣瑩,3,女,1972,40,中國國民黨,171466,61.69%,*,否,,
第八屆(2012),新北市第01選區,何博文,1,男,1973,39,民主進步黨,90125,42.44%,,否,,
第八屆(2012),新北市第08選區,陳冠騰,1,男,1973,39,無黨籍及未經政黨推薦,2147,1.02%,,否,,
第八屆(2012),臺中市第04選區,蔡智豪,4,男,1973,39,綠黨,3986,2.00%,,否,,
第八屆(2012),臺中市第07選區,郭庭萓,4,女,1973,39,台灣主義黨,459,0.22%,,否,,
第八屆(2012),臺南市第05選區,林民昌,1,男,1973,39,綠黨,3494,1.51%,,否,,
第八屆(2012),高雄市第02選區,謝長利,2,男,1973,39,無黨籍及未經政黨推薦,2301,1.19%,,否,,
第八屆(2012),桃園縣第05選區,吳平娥,3,女,1973,39,無黨籍及未經政黨推薦,15779,9.10%,,否,,
第八屆(2012),高雄市第01選區,邱議瑩,1,女,1971,41,民主進步黨,89913,54.31%,*,是,,
第八屆(2012),高雄市第08選區,黃謙福,3,男,1972,40,人民最大黨,777,0.38%,,否,,
第八屆(2012),桃園縣第04選區,黃興國,1,男,1972,40,台灣主義黨,839,0.46%,,否,,
第八屆(2012),全國（平原）,笛布斯．顗賚,10,女,1972,40,無黨籍及未經政黨推薦,8841,9.00%,,否,,
第八屆(2012),新北市第02選區,錢薇娟,2,女,1971,41,中國國民黨,76768,39.51%,,否,,
第八屆(2012),高雄市第07選區,鍾佩璇,2,女,1971,41,健保免費連線,1853,1.00%,,否,,
第八屆(2012),彰化縣第02選區,黃秀芳,1,女,1971,41,民主進步黨,77158,44.53%,,否,,
第八屆(2012),基隆市第01選區,林右昌,1,男,1971,41,民主進步黨,84487,40.17%,,否,,
第八屆(2012),新竹市第01選區,王瑄,1,女,1971,41,無黨籍及未經政黨推薦,7387,3.22%,,否,,
第八屆(2012),臺中市第01選區,蔡其昌,3,男,1969,43,民主進步黨,81669,54.54%,*,否,,
第八屆(2012),桃園縣第06選區,孫大千,2,男,1969,43,中國國民黨,102528,60.34%,*,是,,
第八屆(2012),雲林縣第02選區,劉建國,3,男,1969,43,民主進步黨,121368,60.98%,*,是,,
第八屆(2012),臺北市第01選區,張育憬,1,女,1970,42,綠黨,4733,2.33%,,否,,
第八屆(2012),臺北市第07選區,潘翰聲,1,男,1970,42,綠黨,43449,23.99%,,否,,
第八屆(2012),臺北市第08選區,阮昭雄,1,男,1970,42,民主進步黨,53917,29.00%,,否,,
第八屆(2012),新北市第09選區,許又銘,1,男,1970,42,民主進步黨,50656,27.55%,,否,,
第八屆(2012),桃園縣第05選區,黃嘉華,1,男,1970,42,人民最大黨,717,0.41%,,否,,
第八屆(2012),基隆市第01選區,黃小陵,2,女,1970,42,人民民主陣線,2599,1.23%,,否,,
第八屆(2012),彰化縣第01選區,王惠美,4,女,1968,44,中國國民黨,63026,35.21%,*,否,,
第八屆(2012),臺北市第04選區,黃珊珊,2,女,1969,43,親民黨,39593,17.16%,,否,,
第八屆(2012),臺北市第06選區,王雲怡,5,女,1969,43,台灣國民會議,2128,1.17%,,否,,
第八屆(2012),新北市第02選區,龔尤倩,4,女,1969,43,人民民主陣線,1428,0.73%,,否,,
第八屆(2012),新北市第08選區,江永昌,4,男,1969,43,民主進步黨,83468,39.78%,,否,,
第八屆(2012),臺中市第07選區,鄭麗文,2,女,1969,43,中國國民黨,92369,46.00%,,是,,
第八屆(2012),高雄市第05選區,羅世雄,3,男,1969,43,中國國民黨,70896,42.94%,,否,,
第八屆(2012),桃園縣第05選區,黃國華,2,男,1969,43,中華民國臺灣基本法連線,433,0.24%,,否,,
第八屆(2012),臺東縣第01選區,饒慶鈴,4,女,1969,43,中國國民黨,22553,29.60%,,否,,
第八屆(2012),全國（平原）,馬躍‧比吼 Mayaw‧Biho,8,男,1969,43,無黨籍及未經政黨推薦,4553,4.63%,,否,,
第八屆(2012),新北市第11選區,羅明才,2,男,1967,45,中國國民黨,132426,66.56%,*,是,,
第八屆(2012),臺東縣第01選區,劉櫂豪,5,男,1967,45,民主進步黨,31685,41.59%,*,否,,
第八屆(2012),臺北市第05選區,顏聖冠,4,女,1968,44,民主進步黨,77013,42.42%,,否,,
第八屆(2012),新北市第03選區,蕭炳賢,4,男,1968,44,健保免費連線,2836,1.46%,,否,,
第八屆(2012),高雄市第02選區,林益世,3,男,1968,44,中國國民黨,92902,48.38%,,是,,
第八屆(2012),桃園縣第05選區,劉邦鉉,4,男,1968,44,無黨籍及未經政黨推薦,15644,9.02%,,否,,
第八屆(2012),雲林縣第02選區,王美心,2,女,1968,44,人民最大黨,3817,1.91%,,否,,
第八屆(2012),高雄市第08選區,許智傑,4,男,1966,46,民主進步黨,104292,51.96%,*,否,,
第八屆(2012),高雄市第09選區,林國正,4,男,1966,46,中國國民黨,70600,38.42%,*,否,,
第八屆(2012),澎湖縣第01選區,楊曜,2,男,1966,46,民主進步黨,23823,53.43%,*,否,,
第八屆(2012),臺北市第03選區,簡余晏,1,女,1967,45,民主進步黨,89417,42.30%,,否,,
第八屆(2012),臺北市第03選區,楊長燕,2,女,1967,45,台灣國民會議,3423,1.61%,,否,,
第八屆(2012),新北市第06選區,楊程欽,3,男,1967,45,台灣國民會議,1229,0.76%,,否,,
第八屆(2012),臺中市第06選區,賀姿華,5,女,1967,45,無黨籍及未經政黨推薦,2307,1.23%,,否,,
第八屆(2012),臺南市第01選區,歐崇敬,3,男,1967,45,中國國民黨,46422,24.27%,,否,,
第八屆(2012),桃園縣第01選區,鄭文燦,1,男,1967,45,民主進步黨,82820,44.65%,,否,,
第八屆(2012),臺北市第02選區,姚文智,3,男,1965,47,民主進步黨,99229,50.04%,*,否,,
第八屆(2012),南投縣第01選區,馬文君,2,女,1965,47,中國國民黨,78083,60.26%,*,是,,
第八屆(2012),屏東縣第01選區,蘇震清,2,男,1965,47,民主進步黨,94538,58.20%,*,是,,
第八屆(2012),花蓮縣第01選區,王廷升,1,男,1965,47,中國國民黨,57557,44.71%,*,是,,
第八屆(2012),嘉義市第01選區,李俊俋,3,男,1965,47,民主進步黨,72343,48.82%,*,否,,
第八屆(2012),全國（山原）,高金素梅,2,女,1965,47,無黨團結聯盟,29520,25.29%,*,是,,
第八屆(2012),臺北市第02選區,周守訓,1,男,1966,46,中國國民黨,96119,48.47%,,是,,
第八屆(2012),新北市第02選區,王安娜,1,女,1966,46,台灣國民會議,1292,0.66%,,否,,
第八屆(2012),新北市第06選區,周雅淑,2,女,1966,46,民主進步黨,73950,45.84%,,否,,
第八屆(2012),新北市第10選區,王金芬,5,女,1966,46,無黨籍及未經政黨推薦,6873,3.65%,,否,,
第八屆(2012),新北市第12選區,沈發惠,2,男,1966,46,民主進步黨,63122,35.91%,,否,,
第八屆(2012),臺中市第03選區,劉坤鱧,2,男,1966,46,無黨籍及未經政黨推薦,8789,5.08%,,否,,
第八屆(2012),桃園縣第04選區,黃適卓,3,男,1966,46,民主進步黨,73909,40.64%,,否,,
第八屆(2012),新竹縣第01選區,傅家賢,1,男,1966,46,中華民國臺灣基本法連線,1984,0.71%,,否,,
第八屆(2012),臺中市第03選區,楊瓊瓔,3,女,1964,48,中國國民黨,99400,57.52%,*,是,,
第八屆(2012),臺中市第06選區,林佳龍,4,男,1964,48,民主進步黨,96685,51.78%,*,否,,
第八屆(2012),高雄市第06選區,李昆澤,2,男,1964,48,民主進步黨,81477,52.79%,*,否,,
第八屆(2012),臺中市第04選區,張廖萬堅,1,男,1965,47,民主進步黨,92213,46.33%,,否,,
第八屆(2012),臺中市第08選區,陳清龍,4,男,1965,47,親民黨,14789,9.57%,,否,,
第八屆(2012),高雄市第03選區,林瑩蓉,1,女,1965,47,民主進步黨,95617,46.09%,,否,,
第八屆(2012),新竹縣第01選區,戴國樑,4,男,1965,47,台灣主義黨,1500,0.53%,,否,,
第八屆(2012),連江縣第01選區,陳財能,3,男,1965,47,無黨籍及未經政黨推薦,168,3.32%,,否,,
第八屆(2012),新北市第03選區,高志鵬,3,男,1963,49,民主進步黨,95649,49.25%,*,是,,
第八屆(2012),新北市第07選區,江惠貞,1,女,1963,49,中國國民黨,73686,44.30%,*,否,,
第八屆(2012),臺南市第02選區,黃偉哲,1,男,1963,49,民主進步黨,144399,68.08%,*,是,,
第八屆(2012),彰化縣第04選區,魏明谷,2,男,1963,49,民主進步黨,92085,50.23%,*,否,,
第八屆(2012),屏東縣第03選區,潘孟安,2,男,1963,49,民主進步黨,93685,66.64%,*,是,,
第八屆(2012),新北市第07選區,羅致政,2,男,1964,48,民主進步黨,71207,42.81%,,否,,
第八屆(2012),臺中市第08選區,車淑娟,2,女,1964,48,無黨籍及未經政黨推薦,8761,5.67%,,否,,
第八屆(2012),南投縣第02選區,賴燕雪,1,女,1964,48,民主進步黨,66447,45.68%,,否,,
第八屆(2012),花蓮縣第01選區,賴坤成,3,男,1964,48,民主進步黨,33326,25.88%,,是,,
第八屆(2012),宜蘭縣第01選區,陳歐珀,2,男,1962,50,民主進步黨,127303,51.69%,*,否,,
第八屆(2012),臺北市第02選區,王美崴,2,女,1963,49,人民最大黨,1154,0.58%,,否,,
第八屆(2012),苗栗縣第02選區,楊長鎮,1,男,1963,49,民主進步黨,47022,28.34%,,否,,
第八屆(2012),雲林縣第02選區,許舒博,1,男,1963,49,中國國民黨,73832,37.09%,,是,,
第八屆(2012),金門縣第01選區,陳福海,1,男,1963,49,親民黨,12128,32.14%,,是,,
第八屆(2012),臺中市第05選區,盧秀燕,1,女,1961,51,中國國民黨,129822,57.86%,*,是,,
第八屆(2012),桃園縣第05選區,呂玉玲,5,女,1961,51,中國國民黨,78504,45.29%,*,否,,
第八屆(2012),臺北市第02選區,傅文忠,5,男,1962,50,人民最大黨,405,0.20%,,否,,
第八屆(2012),臺北市第04選區,李建昌,3,男,1962,50,民主進步黨,78097,33.85%,,否,,
第八屆(2012),臺北市第07選區,霍汶琳,3,女,1962,50,台灣主義黨,2619,1.44%,,否,,
第八屆(2012),高雄市第08選區,鄭復華,2,女,1962,50,無黨籍及未經政黨推薦,3069,1.52%,,否,,
第八屆(2012),屏東縣第02選區,李世斌,1,男,1962,50,民主進步黨,75986,48.49%,,否,,
第八屆(2012),屏東縣第03選區,龔瑞維,1,男,1962,50,中國國民黨,45314,32.23%,,否,,
第八屆(2012),臺東縣第01選區,吳俊立,2,男,1962,50,無黨籍及未經政黨推薦,19016,24.96%,,否,,
第八屆(2012),全國（平原）,洪國治,2,男,1962,50,無黨籍及未經政黨推薦,10524,10.72%,,否,,
第八屆(2012),全國（山原）,曾智勇,1,男,1962,50,民主進步黨,9968,8.54%,,否,,
第八屆(2012),臺中市第02選區,顏清標,2,男,1960,52,無黨團結聯盟,118585,59.79%,*,是,,
第八屆(2012),臺南市第01選區,葉宜津,1,女,1960,52,民主進步黨,120623,63.08%,*,是,,
第八屆(2012),臺北市第06選區,王秀珠,9,女,1961,51,人民最大黨,747,0.41%,,否,,
第八屆(2012),臺南市第02選區,詹秋嫻,2,女,1961,51,中華台商愛國黨,2439,1.14%,,否,,
第八屆(2012),臺南市第03選區,謝龍介,1,男,1961,51,中國國民黨,84095,37.22%,,否,,
第八屆(2012),苗栗縣第01選區,黃玉燕,4,女,1961,51,無黨籍及未經政黨推薦,4730,3.24%,,否,,
第八屆(2012),南投縣第01選區,張國鑫,1,男,1961,51,民主進步黨,49950,38.55%,,否,,
第八屆(2012),基隆市第01選區,張耿輝,4,男,1961,51,無黨籍及未經政黨推薦,12332,5.86%,,否,,
第八屆(2012),全國（平原）,忠仁．達祿斯,3,男,1961,51,無黨籍及未經政黨推薦,6757,6.88%,,否,,
第八屆(2012),新北市第04選區,李鴻鈞,3,男,1959,53,中國國民黨,103165,51.07%,*,是,,
第八屆(2012),臺北市第06選區,趙士強,7,男,1960,52,民主進步黨,54113,29.94%,,否,,
第八屆(2012),臺南市第05選區,李全教,3,男,1960,52,中國國民黨,106619,46.25%,,否,,
第八屆(2012),高雄市第04選區,黃憲南,1,男,1960,52,無黨籍及未經政黨推薦,2090,1.21%,,否,,
第八屆(2012),南投縣第01選區,何國隆,3,男,1960,52,台灣主義黨,1526,1.17%,,否,,
第八屆(2012),新竹市第01選區,鄧秀寶,2,女,1960,52,中華民國臺灣基本法連線,1911,0.83%,,否,,
第八屆(2012),新竹市第01選區,張學舜,5,男,1960,52,民主進步黨,95715,41.84%,,否,,
第八屆(2012),新北市第01選區,吳育昇,4,男,1958,54,中國國民黨,107821,50.77%,*,是,,
第八屆(2012),臺中市第04選區,蔡錦隆,2,男,1958,54,中國國民黨,101702,51.10%,*,是,,
第八屆(2012),彰化縣第02選區,林滄敏,2,男,1958,54,中國國民黨,96108,55.46%,*,是,,
第八屆(2012),臺中市第01選區,陳添旺,1,男,1959,53,中國國民黨,65438,43.70%,,否,,
第八屆(2012),高雄市第05選區,董桂如,2,女,1959,53,健保免費連線,1242,0.75%,,否,,
第八屆(2012),桃園縣第03選區,陳學聖,1,男,1957,55,中國國民黨,97654,53.85%,*,否,,
第八屆(2012),桃園縣第04選區,楊麗環,4,女,1957,55,中國國民黨,105827,58.20%,*,是,,
第八屆(2012),彰化縣第03選區,鄭汝芬,1,女,1957,55,中國國民黨,101352,55.89%,*,是,,
第八屆(2012),金門縣第01選區,楊應雄,5,男,1957,55,中國國民黨,12435,32.95%,*,否,,
第八屆(2012),全國（山原）,孔文吉,4,男,1957,55,中國國民黨,31629,27.10%,*,是,,
第八屆(2012),臺北市第05選區,葉玫,5,女,1958,54,台灣國民會議,1014,0.55%,,否,,
第八屆(2012),新北市第09選區,雷倩,2,女,1958,54,無黨籍及未經政黨推薦,42832,23.30%,,否,,
第八屆(2012),臺南市第02選區,周賜海,4,男,1958,54,中國國民黨,62794,29.60%,,否,,
第八屆(2012),屏東縣第03選區,潘政治,3,男,1958,54,無黨籍及未經政黨推薦,1564,1.11%,,否,,
第八屆(2012),基隆市第01選區,周一成,5,男,1958,54,台灣主義黨,707,0.33%,,否,,
第八屆(2012),高雄市第05選區,管碧玲,4,女,1956,56,民主進步黨,92043,55.75%,*,是,,
第八屆(2012),桃園縣第01選區,陳根德,2,男,1956,56,中國國民黨,102648,55.34%,*,是,,
第八屆(2012),全國（平原）,鄭天財 Sra．Kacaw,9,男,1956,56,中國國民黨,23480,23.92%,*,否,,
第八屆(2012),新北市第08選區,邱珮琳,3,女,1957,55,無黨籍及未經政黨推薦,23023,10.97%,,否,,
第八屆(2012),高雄市第07選區,趙振迪,4,男,1957,55,無黨籍及未經政黨推薦,686,0.37%,,否,,
第八屆(2012),新竹縣第01選區,彭紹瑾,2,男,1957,55,民主進步黨,102953,37.04%,,是,,
第八屆(2012),屏東縣第01選區,羅志明,4,男,1957,55,中國國民黨,55161,33.96%,,否,,
第八屆(2012),金門縣第01選區,吳成典,2,男,1957,55,新黨,10678,28.30%,,否,,
第八屆(2012),全國（平原）,陳連順,7,男,1957,55,台灣主義黨,986,1.00%,,否,,
第八屆(2012),新北市第06選區,林鴻池,1,男,1955,57,中國國民黨,86119,53.39%,*,是,,
第八屆(2012),苗栗縣第02選區,徐耀昌,2,男,1955,57,中國國民黨,118858,71.65%,*,是,,
第八屆(2012),嘉義縣第01選區,翁重鈞,2,男,1955,57,中國國民黨,73481,50.30%,*,是,,
第八屆(2012),全國（平原）,廖國棟,1,男,1955,57,中國國民黨,26998,27.51%,*,是,,
第八屆(2012),臺北市第07選區,胡光慈,2,男,1956,56,人民最大黨,1718,0.94%,,否,,
第八屆(2012),新北市第05選區,廖本煙,3,男,1956,56,民主進步黨,78651,45.68%,,否,,
第八屆(2012),臺中市第02選區,李順涼,1,男,1956,56,民主進步黨,79730,40.20%,,否,,
第八屆(2012),高雄市第01選區,鍾紹和,2,男,1956,56,中國國民黨,75627,45.68%,,是,,
第八屆(2012),高雄市第07選區,邱毅,1,男,1956,56,中國國民黨,83379,45.25%,,是,,
第八屆(2012),金門縣第01選區,許乃權,3,男,1956,56,無黨籍及未經政黨推薦,2260,5.99%,,否,,
第八屆(2012),臺北市第01選區,丁守中,4,男,1954,58,中國國民黨,112571,55.65%,*,是,,
第八屆(2012),臺北市第07選區,費鴻泰,5,男,1954,58,中國國民黨,114009,62.96%,*,是,,
第八屆(2012),嘉義縣第02選區,陳明文,1,男,1954,58,民主進步黨,86828,55.19%,*,是,,
第八屆(2012),臺北市第01選區,鄭光照,3,男,1955,57,中華民國臺灣基本法連線,690,0.34%,,否,,
第八屆(2012),新北市第10選區,楊木萬,1,男,1955,57,綠黨,8598,4.57%,,否,,
第八屆(2012),新北市第10選區,莊碩漢,2,男,1955,57,民主進步黨,81520,43.38%,,否,,
第八屆(2012),臺中市第07選區,段緯宇,3,男,1955,57,親民黨,6965,3.46%,,否,,
第八屆(2012),臺中市第08選區,郭俊銘,1,男,1955,57,民主進步黨,60964,39.47%,,否,,
第八屆(2012),高雄市第09選區,郭玟成,3,男,1955,57,民主進步黨,59258,32.25%,,是,,
第八屆(2012),苗栗縣第01選區,李朝雄,2,男,1955,57,台灣主義黨,2095,1.43%,,否,,
第八屆(2012),新竹市第01選區,趙福龍,6,男,1955,57,無黨籍及未經政黨推薦,506,0.22%,,否,,
第八屆(2012),臺北市第04選區,蔡正元,4,男,1953,59,中國國民黨,111260,48.22%,*,是,,
第八屆(2012),新北市第09選區,林德福,3,男,1953,59,中國國民黨,89767,48.83%,*,是,,
第八屆(2012),新北市第10選區,盧嘉辰,3,男,1953,59,中國國民黨,89570,47.67%,*,是,,
第八屆(2012),高雄市第03選區,黃昭順,4,女,1953,59,中國國民黨,101055,48.72%,*,是,,
第八屆(2012),新北市第04選區,林麗容,4,女,1954,58,正黨,1852,0.91%,,否,,
第八屆(2012),臺中市第03選區,童瑞陽,1,男,1954,58,民主進步黨,64601,37.38%,,否,,
第八屆(2012),高雄市第09選區,林杰正,5,男,1954,58,台灣國民會議,2142,1.16%,,否,,
第八屆(2012),桃園縣第02選區,郭榮宗,2,男,1954,58,民主進步黨,91250,49.78%,,是,,
第八屆(2012),桃園縣第03選區,黃仁杼,3,男,1954,58,民主進步黨,72395,39.92%,,是,,
第八屆(2012),桃園縣第03選區,劉文雄,4,男,1954,58,親民黨,9816,5.41%,,否,,
第八屆(2012),苗栗縣第01選區,杜文卿,3,男,1954,58,民主進步黨,56179,38.50%,,否,,
第八屆(2012),彰化縣第04選區,蕭景田,1,男,1954,58,中國國民黨,91207,49.76%,,是,,
第八屆(2012),屏東縣第01選區,吳亮慶,3,男,1954,58,無黨籍及未經政黨推薦,10437,6.42%,,否,,
第八屆(2012),花蓮縣第01選區,釋楊悟空,2,男,1954,58,無黨籍及未經政黨推薦,1964,1.52%,,否,,
第八屆(2012),花蓮縣第01選區,張智超,4,男,1954,58,無黨籍及未經政黨推薦,35884,27.87%,,否,,
第八屆(2012),連江縣第01選區,曹爾忠,2,男,1954,58,中國國民黨,2361,46.68%,,是,,
第八屆(2012),臺北市第03選區,羅淑蕾,3,女,1952,60,中國國民黨,118503,56.07%,*,是,,
第八屆(2012),新竹市第01選區,呂學樟,3,男,1952,60,中國國民黨,121848,53.27%,*,是,,
第八屆(2012),連江縣第01選區,陳雪生,1,男,1952,60,無黨籍及未經政黨推薦,2528,49.99%,*,否,,
第八屆(2012),全國（平原）,林正二,6,男,1952,60,親民黨,13992,14.25%,*,是,,
第八屆(2012),臺北市第02選區,夏林清,4,女,1953,59,人民民主陣線,1364,0.68%,,否,,
第八屆(2012),新北市第03選區,吳清,2,男,1953,59,中華民國臺灣基本法連線,1059,0.54%,,否,,
第八屆(2012),新北市第11選區,高建智,1,男,1953,59,民主進步黨,66506,33.43%,,否,,
第八屆(2012),臺中市第06選區,黃義交,1,男,1953,59,中國國民黨,84937,45.48%,,是,,
第八屆(2012),新竹市第01選區,王榮德,4,男,1953,59,無黨籍及未經政黨推薦,1350,0.59%,,否,,
第八屆(2012),臺北市第01選區,楊烈,5,男,1952,60,民主進步黨,82040,40.55%,,否,,
第八屆(2012),臺北市第05選區,林郁方,7,男,1951,61,中國國民黨,100292,55.25%,*,是,,
第八屆(2012),臺北市第08選區,賴士葆,5,男,1951,61,中國國民黨,117892,63.42%,*,是,,
第八屆(2012),新北市第08選區,張慶忠,2,男,1951,61,中國國民黨,101161,48.21%,*,是,,
第八屆(2012),臺南市第04選區,許添財,2,男,1951,61,民主進步黨,115439,53.02%,*,是,,
第八屆(2012),新北市第07選區,曾文振,3,男,1952,60,無黨籍及未經政黨推薦,21411,12.87%,,否,,
第八屆(2012),臺中市第05選區,謝明源,3,男,1952,60,民主進步黨,91793,40.91%,,否,,
第八屆(2012),高雄市第05選區,林宏明,1,男,1952,60,無黨籍及未經政黨推薦,917,0.55%,,否,,
第八屆(2012),高雄市第06選區,侯彩鳳,1,女,1952,60,中國國民黨,72842,47.20%,,是,,
第八屆(2012),臺東縣第01選區,林正杰,3,男,1952,60,無黨籍及未經政黨推薦,2365,3.10%,,否,,
第八屆(2012),金門縣第01選區,高絃騰,4,男,1952,60,健保免費連線,228,0.60%,,否,,
第八屆(2012),全國（山原）,瓦歷斯‧貝林 Walis‧Perin,5,男,1952,60,親民黨,15533,13.30%,,否,,
第八屆(2012),苗栗縣第01選區,陳超明,1,男,1951,61,中國國民黨,82902,56.81%,*,否,,
第八屆(2012),南投縣第02選區,林明溱,2,男,1951,61,中國國民黨,79008,54.31%,*,是,,
第八屆(2012),全國（山原）,簡東明 Uliw．Qaljupayare,6,男,1951,61,中國國民黨,28581,24.48%,*,是,,
第八屆(2012),臺中市第06選區,林幸杰,6,男,1951,61,無黨籍及未經政黨推薦,354,0.18%,,否,,
第八屆(2012),臺南市第01選區,李宗智,2,男,1951,61,親民黨,24159,12.63%,,否,,
第八屆(2012),桃園縣第05選區,彭添富,7,男,1951,61,民主進步黨,60887,35.13%,,否,,
第八屆(2012),雲林縣第01選區,李進勇,1,男,1951,61,民主進步黨,89213,49.55%,,否,,
第八屆(2012),臺北市第06選區,陳振盛,3,男,1950,62,親民黨,11966,6.62%,,否,,
第八屆(2012),新北市第12選區,石翊靖,3,男,1950,62,人民最大黨,1577,0.89%,,否,,
第八屆(2012),臺中市第06選區,王名江,2,男,1950,62,中華民國臺灣基本法連線,507,0.27%,,否,,
第八屆(2012),臺中市第06選區,曾坤炳,3,男,1950,62,健保免費連線,1322,0.70%,,否,,
第八屆(2012),高雄市第03選區,黎建南,2,男,1950,62,親民黨,7296,3.51%,,否,,
第八屆(2012),全國（山原）,邱文生,3,男,1950,62,無黨籍及未經政黨推薦,1481,1.26%,,否,,
第八屆(2012),臺北市第06選區,蔣乃辛,8,男,1948,64,中國國民黨,108488,60.02%,*,是,,
第八屆(2012),新北市第03選區,李乾龍,1,男,1949,63,中國國民黨,94634,48.73%,,否,,
第八屆(2012),新北市第09選區,曾文聖,4,男,1949,63,中華民國臺灣基本法連線,561,0.30%,,否,,
第八屆(2012),高雄市第09選區,蔡媽福,2,男,1949,63,無黨籍及未經政黨推薦,2779,1.51%,,否,,
第八屆(2012),桃園縣第06選區,鄭振源,1,男,1949,63,無黨籍及未經政黨推薦,14235,8.37%,,否,,
第八屆(2012),全國（平原）,詹金福,5,男,1949,63,無黨籍及未經政黨推薦,1294,1.31%,,否,,
第八屆(2012),新北市第12選區,李慶華,1,男,1948,64,中國國民黨,73953,42.07%,*,是,,
第八屆(2012),屏東縣第02選區,王進士,2,男,1948,64,中國國民黨,80696,51.50%,*,是,,
第八屆(2012),新北市第02選區,計京生,5,男,1948,64,中華民國臺灣基本法連線,700,0.36%,,否,,
